epoch,train_loss,val_loss,val_macro_auc
1,0.1758160386234522,0.16201787222834194,0.569287846424128
2,0.1565433119368904,0.15863990126287236,0.6183339905489252
3,0.15375311409725861,0.15632910106111975,0.6478079107313734
4,0.1522755815702326,0.15571782212047017,0.6678728110903396
5,0.1513935021836968,0.15474100126063123,0.6821545221164523
6,0.15080107419806368,0.1542278173215249,0.6919006084272203
7,0.1500879844979328,0.15380535778753898,0.699268896034738
8,0.14969656627406092,0.1534852918018313,0.7061996113043144
9,0.14935570703271558,0.15276506345938234,0.7118396616264105
10,0.1492327427601113,0.15312423096860156,0.715964202903255
11,0.14872656883124044,0.15214297219234355,0.7204144351811552
12,0.14846327440703616,0.1520814520909506,0.7232072533409667
13,0.1481623417314361,0.15230694457012064,0.7258687657605732
14,0.14823284471297965,0.15224978371578105,0.7275470397824175
15,0.14830982498824596,0.15202146878137307,0.7295443690450919
16,0.1479263215818826,0.1528388147844988,0.7308906234738659
17,0.1481346543878317,0.15204656277509296,0.7315407103941228
18,0.14788637770449414,0.15196286996497826,0.73320237283106
19,0.1479191883083652,0.15155652406461098,0.7335829417838883
20,0.14770072994425015,0.15154208286720164,0.7344511579398673
